SMILES	abs_wl_max	abs_intensity	ems_wl_max	ems_intensity
C1=CC=CC=C1	254.75	1.0	287.0	1.0
CC1=CC=CC=C1	261.75	1.0	289.5	1.0
CC1=CC=CC=C1C	263.0	1.0	291.0	1.0
CC1=CC(=CC=C1)C	265.0	1.0	290.0	1.0
CC1=CC=C(C=C1)C	275.0	1.0	291.0	1.0
CC1=CC(=CC(=C1)C)C	265.0	1.0	290.0	1.0
CC1=CC(=C(C=C1C)C)C	278.0	1.0	295.0	1.0
CC1=CC(=C(C(=C1C)C)C)C	271.0	1.0	295.0	1.0
CC1=C(C(=C(C(=C1C)C)C)C)C	271.0	1.0	298.0	1.0
C1=CC=C(C=C1)O	270.75	1.0	291.5	1.0
COC1=CC=CC=C1	220.0	1.0	295.0	1.0
C1=CC=C(C=C1)C#N	222.0	1.0	295.0	1.0
C1=CC=C(C=C1)C=O	242.0	1.0		
C1=CC=C(C=C1)C(=O)O	227.0	1.0		
CC(=O)C1=CC=CC=C1	241.0	1.0		
C1=CC=C(C=C1)N	288.0	1.0	313.0	1.0
CN(C)C1=CC=CC=C1	251.0	1.0	332.0	1.0
C1=CC=C(C=C1)NN.Cl	279.0	1.0		
C1=CC=C(C=C1)Cl	265.0	1.0	295.0	1.0
C1=CC=C(C=C1)I	228.0	1.0		
C1=CC=C(C=C1)[N+](=O)[O-]	258.0	1.0		
C=CC1=CC=CC=C1	248.0	1.0	302.0	1.0
C#CC1=CC=CC=C1	236.0	1.0	295.0	1.0
C#CC1=CC=C(C=C1)C#C	274.0	1.0	303.0	1.0
C1=CC=C(C=C1)C#CC=O	277.0	1.0		
B(C1=CC=CC=C1)(O)O	227.0	1.0	295.0	1.0
COC1=C(C=CC(=C1)C=O)O	222.0	1.0		
CC(=O)C1=CC(=CC=C1)O	218.0	1.0		
CCOC(=O)C1=CC=C(C=C1)N(C)C	310.25	1.0	330.0	1.0
CC(=O)C1=C(C(=C(C=C1)O)O)O	291.0	1.0		
C1=CC(=CC=C1C(=O)O)C(=O)O	240.0	1.0		
C1=CC(=CC=C1N)N	251.0	1.0	390.0	1.0
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4	263.0	1.0	315.0	1.0
C1=CC=C(C=C1)CNC2=CC=CC=C2	245.0	1.0	323.0	1.0
C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2	302.0	1.0		
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	252.0	1.0		
C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)O)O	283.0	1.0		
CCOC(=O)C1=CC=CC=C1C(=O)OCC	225.0	1.0		
C1=C(C(=CC(=C1C#N)C#N)C#N)C#N	316.0	1.0	319.0	1.0
