#	Name	name_smiles	Wavelength	Epsilon	Quantum Yield
1	Benzene	C1=CC=CC=C1	254.75	210	0.053
2	Toluene	CC1=CC=CC=C1	261.75	2860	0.17
3	o-Xylene	CC1=CC=CC=C1C	263.0	254	0.17
4	m-Xylene	CC1=CC(=CC=C1)C	265.0	284	0.13
5	p-Xylene	CC1=CC=C(C=C1)C	275.0	770	0.22
6	Mesitylene	CC1=CC(=CC(=C1)C)C	265.0	190	0.08800000000000001
7	Durene	CC1=CC(=C(C=C1C)C)C	278.0	214	0.3
8	Pentamethylbenzene	CC1=CC(=C(C(=C1C)C)C)C	271.0	629	0.075
9	Hexamethylbenzene	CC1=C(C(=C(C(=C1C)C)C)C)C	271.0	214	0.01
10	Phenol	C1=CC=C(C=C1)O	270.75	2340	0.075
11	Anisole	COC1=CC=CC=C1	220.0	7800	0.45
12	Benzonitrile	C1=CC=C(C=C1)C#N	222.0	13100	0.23
13	Benzaldehyde	C1=CC=C(C=C1)C=O	242.0	13200	0.0
14	Benzoic acid	C1=CC=C(C=C1)C(=O)O	227.0	8270	0.0
15	Acetophenone	CC(=O)C1=CC=CC=C1	241.0	12800	0.0
16	Aniline	C1=CC=C(C=C1)N	288.0	1760	0.17
17	N,N-Dimethyl-aniline	CN(C)C1=CC=CC=C1	251.0	14900	0.19
18	Phenylhydrazine Hydrochloride	C1=CC=C(C=C1)NN.Cl	279.0	490	0.0
19	Chlorobenzene	C1=CC=C(C=C1)Cl	265.0	280	0.0042
20	Iodobenzene	C1=CC=C(C=C1)I	228.0	13200	0.0
21	Nitrobenzene	C1=CC=C(C=C1)[N+](=O)[O-]	258.0	8140	0.0
22	Styrene	C=CC1=CC=CC=C1	248.0	14700	0.22
23	Phenylacetylene	C#CC1=CC=CC=C1	236.0	17600	0.11
24	1,4-Diethynylbenzene	C#CC1=CC=C(C=C1)C#C	274.0	28200	0.19
25	Phenylpropargyl aldehyde	C1=CC=C(C=C1)C#CC=O	277.0	5000	0.0
26	Phenylboronic acid	B(C1=CC=CC=C1)(O)O	227.0	9520	0.26
27	Vanillin	COC1=C(C=CC(=C1)C=O)O	222.0	9770	0.0
28	3-Hydroxyacetophenone	CC(=O)C1=CC(=CC=C1)O	218.0	19000	0.0
29	Ethyl 4-(dimethylamino)benzoate	CCOC(=O)C1=CC=C(C=C1)N(C)C	310.25	23200	0.29
30	Gallacetophenone	CC(=O)C1=C(C(=C(C=C1)O)O)O	291.0	12500	0.0
31	Terephthalic acid	C1=CC(=CC=C1C(=O)O)C(=O)O	240.0	17000	0.0
32	p-Phenylenediamine	C1=CC(=CC=C1N)N	251.0	6920	0.065
33	Tetraphenylmethane	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4	263.0	1910	0.24
34	N-Phenylbenzylamine	C1=CC=C(C=C1)CNC2=CC=CC=C2	245.0	13200	0.16399999999999998
35	trans-Chalcone	C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2	302.0	28000	0.0
36	Benzophenone	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	252.0	19400	0.0
37	4,4'-Dihydroxybenzophenone	C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)O)O	283.0	15200	0.0
38	Diethyl phthalate	CCOC(=O)C1=CC=CC=C1C(=O)OCC	225.0	7110	0.0
39	1,2,4,5-Tetracyanobenzene	C1=C(C(=CC(=C1C#N)C#N)C#N)C#N	316.0	3400	0.21
40	Hexafluorobenzene	C1(=C(C(=C(C(=C1F)F)F)F)F)F	230.0	684	0.035
